date,value,volume,open,close,name
5/4/2022,542.62,2311,546.21,542.62,SUU
5/5/2022,561,1116,542.62,561,SUU
5/6/2022,561.93,12029,561,561.93,SUU
5/9/2022,560.76,4457,561.93,560.76,SUU
5/10/2022,562,8862,560.76,562,SUU
5/11/2022,562,4397,562,562,SUU
5/12/2022,560,4474,562,560,SUU
5/13/2022,550,405,560,550,SUU
5/16/2022,548.82,839,550,548.82,SUU
5/17/2022,561.95,2451,548.82,561.95,SUU
5/18/2022,561.35,1120,561.95,561.35,SUU
5/19/2022,562,1276,561.35,562,SUU
5/20/2022,560,2083,562,560,SUU
5/23/2022,559.49,845,560,559.49,SUU
5/24/2022,542.58,459,559.49,542.58,SUU
5/25/2022,542,2509,542.58,542,SUU
5/26/2022,541,4075,542,541,SUU
5/27/2022,540.82,1393,541,540.82,SUU
5/30/2022,540.82,1902,540.82,540.82,SUU
5/31/2022,539.91,4866,540.82,539.91,SUU
6/2/2022,530.24,6514,539.91,530.24,SUU
6/3/2022,523.2,1012,530.24,523.2,SUU
6/6/2022,544,1246,523.2,544,SUU
6/7/2022,544,3732,544,544,SUU
6/8/2022,544,830,544,544,SUU
6/9/2022,510.93,8222,544,510.93,SUU
6/10/2022,518.09,2022,510.93,518.09,SUU
6/13/2022,510.58,8129,518.09,510.58,SUU
6/15/2022,516.82,2762,510.58,516.82,SUU
6/16/2022,516.2,677,516.82,516.2,SUU
6/17/2022,521.14,1354,516.2,521.14,SUU
6/20/2022,522.75,3575,521.14,522.75,SUU
6/21/2022,522.01,3816,522.75,522.01,SUU
6/22/2022,522.5,1564,522.01,522.5,SUU
6/23/2022,515.1,914,522.5,515.1,SUU
6/24/2022,522.42,2187,515.1,522.42,SUU
6/27/2022,520.01,3227,522.42,520.01,SUU
6/28/2022,522.71,316,520.01,522.71,SUU
6/29/2022,522.85,532,522.71,522.85,SUU
6/30/2022,520.61,424,522.85,520.61,SUU
7/1/2022,517.21,1261,520.61,517.21,SUU
7/4/2022,514.95,3256,517.21,514.95,SUU
7/5/2022,515,724,514.95,515,SUU
7/6/2022,509.21,4264,515,509.21,SUU
7/7/2022,514.27,730,509.21,514.27,SUU
7/8/2022,515,419,514.27,515,SUU
7/18/2022,514,1057,515,514,SUU
7/19/2022,510.04,2005,514,510.04,SUU
7/20/2022,513.13,791,510.04,513.13,SUU
7/21/2022,515,1592,513.13,515,SUU
7/22/2022,515,1732,515,515,SUU
7/25/2022,510.94,5769,515,510.94,SUU
7/26/2022,471.64,19973,510.94,471.64,SUU
7/27/2022,500.97,7445,471.64,500.97,SUU
7/28/2022,480.03,14429,500.97,480.03,SUU
7/29/2022,493.19,1399,480.03,493.19,SUU
8/1/2022,502.96,3462,493.19,502.96,SUU
8/2/2022,492.96,6921,502.96,492.96,SUU
8/3/2022,498.84,1701,492.96,498.84,SUU
8/4/2022,497.93,945,498.84,497.93,SUU
8/5/2022,501,4381,497.93,501,SUU
8/8/2022,491.27,7169,501,491.27,SUU
8/9/2022,500,2091,491.27,500,SUU
8/10/2022,500.01,7920,500,500.01,SUU
8/11/2022,500,2714,500.01,500,SUU
8/12/2022,499,2498,500,499,SUU
8/15/2022,493.38,13651,499,493.38,SUU
8/16/2022,503.79,1556,493.38,503.79,SUU
8/17/2022,501.23,258,503.79,501.23,SUU
8/18/2022,501,2660,501.23,501,SUU
8/19/2022,501,44,501,501,SUU
8/22/2022,500.96,1393,501,500.96,SUU
8/23/2022,500.01,2764,500.96,500.01,SUU
8/24/2022,497.97,1398,500.01,497.97,SUU
8/25/2022,500,1151,497.97,500,SUU
8/26/2022,484.9,6301,500,484.9,SUU
8/29/2022,484.22,3852,484.9,484.22,SUU
8/30/2022,490,759,484.22,490,SUU
8/31/2022,491.68,1706,490,491.68,SUU
9/1/2022,490,2395,491.68,490,SUU
9/2/2022,490,3874,490,490,SUU
9/5/2022,488,4206,490,488,SUU
9/6/2022,500,16598,488,500,SUU
9/7/2022,490.66,2735,500,490.66,SUU
9/8/2022,500,4525,490.66,500,SUU
9/9/2022,499.04,1143,500,499.04,SUU
9/12/2022,473.86,7355,499.04,473.86,SUU
9/13/2022,500,5156,473.86,500,SUU
9/14/2022,500,2056,500,500,SUU
9/15/2022,497.24,2527,500,497.24,SUU
9/16/2022,479.52,2233,497.24,479.52,SUU
9/19/2022,478,1633,479.52,478,SUU
9/20/2022,460.03,6050,478,460.03,SUU
9/21/2022,477,2517,460.03,477,SUU
9/22/2022,470.77,2120,477,470.77,SUU
9/23/2022,477.82,47481,470.77,477.82,SUU
9/26/2022,492.08,13361,477.82,492.08,SUU
9/27/2022,490,3178,492.08,490,SUU
9/28/2022,487.19,8842,490,487.19,SUU
9/29/2022,485,7384,487.19,485,SUU
9/30/2022,485,3267,485,485,SUU
10/3/2022,483.77,1395,485,483.77,SUU
10/4/2022,487.31,3158,483.77,487.31,SUU
10/5/2022,478.92,3408,487.31,478.92,SUU
10/6/2022,478.2,2420,478.92,478.2,SUU
10/7/2022,480,2804,478.2,480,SUU
10/10/2022,465.44,3600,480,465.44,SUU
10/11/2022,479,682,465.44,479,SUU
10/12/2022,480,3599,479,480,SUU
10/13/2022,478.33,2908,480,478.33,SUU
10/14/2022,480,3161,478.33,480,SUU
10/17/2022,476.48,1451,480,476.48,SUU
10/18/2022,465.96,3335,476.48,465.96,SUU
10/19/2022,465.1,1898,465.96,465.1,SUU
10/20/2022,464.09,5060,465.1,464.09,SUU
10/21/2022,464.88,270,464.09,464.88,SUU
10/24/2022,465,226,464.88,465,SUU
10/25/2022,465,2204,465,465,SUU
10/26/2022,462.01,4494,465,462.01,SUU
10/27/2022,466,1179,462.01,466,SUU
10/28/2022,465.99,3088,466,465.99,SUU
10/31/2022,465.99,3047,465.99,465.99,SUU
11/1/2022,461,5157,465.99,461,SUU
11/2/2022,465.05,932,461,465.05,SUU
11/3/2022,465,813,465.05,465,SUU
11/4/2022,460.16,3209,465,460.16,SUU
11/7/2022,465,3840,460.16,465,SUU
11/8/2022,460.8,1224,465,460.8,SUU
11/9/2022,465.01,1312,460.8,465.01,SUU
11/10/2022,460,2775,465.01,460,SUU
11/11/2022,457.57,2660,460,457.57,SUU
11/14/2022,460,2537,457.57,460,SUU
11/15/2022,462.54,295,460,462.54,SUU
11/16/2022,458.66,3300,462.54,458.66,SUU
11/17/2022,467.84,8429,458.66,467.84,SUU
11/18/2022,470,800,467.84,470,SUU
